BRAND,MODEL,VARIANT,MPG,TRANSMISSION,DOORS,SUBMODEL,MSRP
Mercedes-Benz,S-Class,S600 4dr Sedan (6.0L 12cyl Turbo 7A),Highway:21;City:12,AUTOMATIC,4,S-Class Sedan,166900
Mercedes-Benz,S-Class,S63 AMG 4MATIC 2dr Coupe AWD (5.5 8cyl Turbo 7A),Highway:23;City:15,AUTOMATIC,2,S-Class S63 AMG 4MATIC,160900
Mitsubishi,Mirage,ES 4dr Hatchback (1.2L 3cyl CVT),Highway:44;City:37,AUTOMATIC,4,Mirage Hatchback,15395
Mitsubishi,Mirage,DE 4dr Hatchback (1.2L 3cyl CVT),Highway:44;City:37,AUTOMATIC,4,Mirage Hatchback,14095
Mitsubishi,Mirage,ES 4dr Hatchback (1.2L 3cyl 5M),Highway:42;City:34,MANUAL,4,Mirage Hatchback,14295
Mitsubishi,Mirage,DE 4dr Hatchback (1.2L 3cyl 5M),Highway:42;City:34,MANUAL,4,Mirage Hatchback,12995
Mitsubishi,Outlander Sport,ES 4dr SUV (2.0L 4cyl 5M),Highway:30;City:24,MANUAL,4,Outlander Sport SUV,19595
Mitsubishi,Outlander Sport,2.4 ES 4dr SUV 4WD (2.4L 4cyl CVT),Highway:26;City:23,AUTOMATIC,4,Outlander Sport SUV,22695
Mitsubishi,Outlander Sport,2.4 GT 4dr SUV 4WD (2.4L 4cyl CVT),Highway:26;City:23,AUTOMATIC,4,Outlander Sport SUV,24995
Mitsubishi,Outlander Sport,ES 4dr SUV 4WD (2.0L 4cyl CVT),Highway:30;City:24,AUTOMATIC,4,Outlander Sport SUV,22195
Mitsubishi,Outlander Sport,SE 4dr SUV (2.0L 4cyl CVT),Highway:32;City:25,AUTOMATIC,4,Outlander Sport SUV,22795
Mitsubishi,Outlander Sport,2.4 GT 4dr SUV (2.4L 4cyl CVT),Highway:28;City:23,AUTOMATIC,4,Outlander Sport SUV,23595
Mitsubishi,Outlander Sport,SE 4dr SUV 4WD (2.0L 4cyl CVT),Highway:30;City:24,AUTOMATIC,4,Outlander Sport SUV,24195
Mitsubishi,Outlander Sport,2.4 ES 4dr SUV (2.4L 4cyl CVT),Highway:28;City:23,AUTOMATIC,4,Outlander Sport SUV,21295
Mitsubishi,Outlander Sport,ES 4dr SUV (2.0L 4cyl CVT),Highway:32;City:25,AUTOMATIC,4,Outlander Sport SUV,20795
Nissan,GT-R,Black Edition 2dr Coupe AWD (3.8L 6cyl Turbo 6AM),Highway:23;City:16,AUTOMATED MANUAL,2,GT-R Coupe,111510
Nissan,GT-R,Premium 2dr Coupe AWD (3.8L 6cyl Turbo 6AM),Highway:23;City:16,AUTOMATED MANUAL,2,GT-R Coupe,101770
Nissan,GT-R,Track Edition 2dr Coupe AWD (3.8L 6cyl Turbo 6AM),Highway:23;City:16,AUTOMATED MANUAL,2,GT-R Coupe,115710
Nissan,Murano,SV 4dr SUV AWD (3.5L 6cyl CVT),Highway:28;City:21,AUTOMATIC,4,Murano SUV,34220
Nissan,Murano,SL 4dr SUV (3.5L 6cyl CVT),Highway:28;City:21,AUTOMATIC,4,Murano SUV,36950
Nissan,Murano,SL 4dr SUV AWD (3.5L 6cyl CVT),Highway:28;City:21,AUTOMATIC,4,Murano SUV,38550
Nissan,Murano,S 4dr SUV AWD (3.5L 6cyl CVT),Highway:28;City:21,AUTOMATIC,4,Murano SUV,31160
Nissan,Murano,Platinum 4dr SUV (3.5L 6cyl CVT),Highway:28;City:21,AUTOMATIC,4,Murano SUV,39000
Nissan,Murano,Platinum 4dr SUV AWD (3.5L 6cyl CVT),Highway:28;City:21,AUTOMATIC,4,Murano SUV,40600
Nissan,Murano,S 4dr SUV (3.5L 6cyl CVT),Highway:28;City:21,AUTOMATIC,4,Murano SUV,29560
